title,description,price,currency
Espresso - Single Shot,Single or Double Shot. Please ask our baristas for choice of beans.,21,AED
Espresso - Iced,Carefully pulled Espresso in ice. Please ask our baristas for choice of beans.,21,AED
Americano - Iced,Please ask our baristas for choice of beans.,21,AED
Americano - Hot,Please ask our baristas for choice of beans.,21,AED
Cold Drip,"Crafted using a slow, low-temperature extraction method, yielding a smooth, full-bodied profile.",30,AED
Brewed,V60 filter manual brew coffee. Please ask our baristas for choice of beans.,42,AED
Short,"Choice of Dairy or Non-dairy milk. Equal-parts blend of intense espresso and silky steamed milk, offering a smooth, low-acidity profile in a refined, short pour.",23,AED
Regular,Choice of Dairy or Non-dairy milk. Our tallest cup of Flat white offering a strong coffee-forward profile.,25,AED
Fusion,Choice of Dairy or Non-dairy milk. Long milk coffee featuring a rich espresso base mellowed by a generous pour of silky steamed milk.,26,AED
No.5 Hot,Choice of Dairy or Non-dairy milk. Served hot - rich espresso base mellowed by silky steamed milk and a touch of sweetened condensed milk for an indulgent finish.,32,AED
No.5 Cold,Choice of Dairy or Non-dairy milk. Served cold - rich espresso base mellowed by silky steamed milk and a touch of sweetened condensed milk for an indulgent finish.,32,AED